"M = 600 GeV, LQToUE_Single_L-0p8_M-600_GeV_8TeV",188.9,24514
"M = 700 GeV, LQToUE_Single_L-0p8_M-700_GeV_8TeV",87.95,24445
"M = 800 GeV, LQToUE_Single_L-0p8_M-800_GeV_8TeV",44.58,24312
"M = 900 GeV, LQToUE_Single_L-0p8_M-900_GeV_8TeV",24.22,24268
"M = 1000 GeV, LQToUE_Single_L-0p8_M-1000_GeV_8TeV",13.87,24165
"M = 1100 GeV, LQToUE_Single_L-0p8_M-1100_GeV_8TeV",8.37,24041
"M = 1200 GeV, LQToUE_Single_L-0p8_M-1200_GeV_8TeV",5.26,23978
"M = 1300 GeV, LQToUE_Single_L-0p8_M-1300_GeV_8TeV",3.43,23871
"M = 1400 GeV, LQToUE_Single_L-0p8_M-1400_GeV_8TeV",2.33,23697
"M = 1500 GeV, LQToUE_Single_L-0p8_M-1500_GeV_8TeV",1.62,23654
"M = 1600 GeV, LQToUE_Single_L-0p8_M-1600_GeV_8TeV",1.17,23529
"M = 1700 GeV, LQToUE_Single_L-0p8_M-1700_GeV_8TeV",0.86,23476
"M = 1800 GeV, LQToUE_Single_L-0p8_M-1800_GeV_8TeV",0.65,23375
"M = 1900 GeV, LQToUE_Single_L-0p8_M-1900_GeV_8TeV",0.5,23320
"M = 2000 GeV, LQToUE_Single_L-0p8_M-2000_GeV_8TeV",0.39,23270
"M = 2100 GeV, LQToUE_Single_L-0p8_M-2100_GeV_8TeV",0.31,23250
"M = 2200 GeV, LQToUE_Single_L-0p8_M-2200_GeV_8TeV",0.25,23205
"M = 2300 GeV, LQToUE_Single_L-0p8_M-2300_GeV_8TeV",0.21,23174
"M = 2400 GeV, LQToUE_Single_L-0p8_M-2400_GeV_8TeV",0.17,23153
"M = 2500 GeV, LQToUE_Single_L-0p8_M-2500_GeV_8TeV",0.14,23069
"M = 2600 GeV, LQToUE_Single_L-0p8_M-2600_GeV_8TeV",0.12,23165
"M = 2700 GeV, LQToUE_Single_L-0p8_M-2700_GeV_8TeV",0.1,22994
"M = 300 GeV, LQToUE_Single_L-1p0_M-300_GeV_8TeV",7117,22447
"M = 400 GeV, LQToUE_Single_L-1p0_M-400_GeV_8TeV",2061,19056
"M = 500 GeV, LQToUE_Single_L-1p0_M-500_GeV_8TeV",754.7,23108
"M = 600 GeV, LQToUE_Single_L-1p0_M-600_GeV_8TeV",322.3,21646
"M = 700 GeV, LQToUE_Single_L-1p0_M-700_GeV_8TeV",153.5,22741
"M = 800 GeV, LQToUE_Single_L-1p0_M-800_GeV_8TeV",79.67,23835
"M = 900 GeV, LQToUE_Single_L-1p0_M-900_GeV_8TeV",44.29,22621
"M = 1000 GeV, LQToUE_Single_L-1p0_M-1000_GeV_8TeV",26.05,22241
"M = 1100 GeV, LQToUE_Single_L-1p0_M-1100_GeV_8TeV",16.1,23514
"M = 1200 GeV, LQToUE_Single_L-1p0_M-1200_GeV_8TeV",10.42,23702
"M = 1300 GeV, LQToUE_Single_L-1p0_M-1300_GeV_8TeV",6.99,21615
"M = 1400 GeV, LQToUE_Single_L-1p0_M-1400_GeV_8TeV",4.85,21294
"M = 1500 GeV, LQToUE_Single_L-1p0_M-1500_GeV_8TeV",3.47,21424
"M = 1600 GeV, LQToUE_Single_L-1p0_M-1600_GeV_8TeV",2.55,19801
"M = 1700 GeV, LQToUE_Single_L-1p0_M-1700_GeV_8TeV",1.91,20806
"M = 1800 GeV, LQToUE_Single_L-1p0_M-1800_GeV_8TeV",1.47,16250
"M = 1900 GeV, LQToUE_Single_L-1p0_M-1900_GeV_8TeV",1.15,17359
"M = 2000 GeV, LQToUE_Single_L-1p0_M-2000_GeV_8TeV",0.92,17637
"M = 2100 GeV, LQToUE_Single_L-1p0_M-2100_GeV_8TeV",0.74,19897
"M = 2200 GeV, LQToUE_Single_L-1p0_M-2200_GeV_8TeV",0.6,22211
"M = 2300 GeV, LQToUE_Single_L-1p0_M-2300_GeV_8TeV",0.5,22259
"M = 2400 GeV, LQToUE_Single_L-1p0_M-2400_GeV_8TeV",0.41,20576
"M = 2500 GeV, LQToUE_Single_L-1p0_M-2500_GeV_8TeV",0.35,20394
"M = 2600 GeV, LQToUE_Single_L-1p0_M-2600_GeV_8TeV",0.3,22186
"M = 2700 GeV, LQToUE_Single_L-1p0_M-2700_GeV_8TeV",0.25,21920
"M = 2800 GeV, LQToUE_Single_L-1p0_M-2800_GeV_8TeV",0.22,19468
"M = 2900 GeV, LQToUE_Single_L-1p0_M-2900_GeV_8TeV",0.19,20551
"M = 3000 GeV, LQToUE_Single_L-1p0_M-3000_GeV_8TeV",0.16,22165
"M = 3100 GeV, LQToUE_Single_L-1p0_M-3100_GeV_8TeV",0.14,21443
"M = 3200 GeV, LQToUE_Single_L-1p0_M-3200_GeV_8TeV",0.13,21885
"M = 3300 GeV, LQToUE_Single_L-1p0_M-3300_GeV_8TeV",0.11,19087
"M = 300 GeV, LQToCMu_Single_L-1p0_M-300_GeV_8TeV",579.1,24688
"M = 400 GeV, LQToCMu_Single_L-1p0_M-400_GeV_8TeV",138.8,24645
"M = 500 GeV, LQToCMu_Single_L-1p0_M-500_GeV_8TeV",44.64,24560
"M = 600 GeV, LQToCMu_Single_L-1p0_M-600_GeV_8TeV",17.57,24468
"M = 700 GeV, LQToCMu_Single_L-1p0_M-700_GeV_8TeV",8.07,24335
"M = 800 GeV, LQToCMu_Single_L-1p0_M-800_GeV_8TeV",4.18,24298
"M = 900 GeV, LQToCMu_Single_L-1p0_M-900_GeV_8TeV",2.37,24226
"M = 1000 GeV, LQToCMu_Single_L-1p0_M-1000_GeV_8TeV",1.45,24199
"M = 1100 GeV, LQToCMu_Single_L-1p0_M-1100_GeV_8TeV",0.94,24148
"M = 1200 GeV, LQToCMu_Single_L-1p0_M-1200_GeV_8TeV",0.64,24102
"M = 1300 GeV, LQToCMu_Single_L-1p0_M-1300_GeV_8TeV",0.45,24081
"M = 1400 GeV, LQToCMu_Single_L-1p0_M-1400_GeV_8TeV",0.33,24088
"M = 1500 GeV, LQToCMu_Single_L-1p0_M-1500_GeV_8TeV",0.24,24039
"M = 1600 GeV, LQToCMu_Single_L-1p0_M-1600_GeV_8TeV",0.19,23960
"M = 1700 GeV, LQToCMu_Single_L-1p0_M-1700_GeV_8TeV",0.15,24016
"M = 1800 GeV, LQToCMu_Single_L-1p0_M-1800_GeV_8TeV",0.11,24063
