"M = 1100 GeV, LQToUE_Single_L-0p8_M-1100_GeV_8TeV",8.37
"M = 1200 GeV, LQToUE_Single_L-0p8_M-1200_GeV_8TeV",5.26
"M = 1300 GeV, LQToUE_Single_L-0p8_M-1300_GeV_8TeV",3.43
"M = 1400 GeV, LQToUE_Single_L-0p8_M-1400_GeV_8TeV",2.33
"M = 1500 GeV, LQToUE_Single_L-0p8_M-1500_GeV_8TeV",1.62
"M = 1600 GeV, LQToUE_Single_L-0p8_M-1600_GeV_8TeV",1.17
"M = 1700 GeV, LQToUE_Single_L-0p8_M-1700_GeV_8TeV",0.86
"M = 1800 GeV, LQToUE_Single_L-0p8_M-1800_GeV_8TeV",0.65
"M = 1900 GeV, LQToUE_Single_L-0p8_M-1900_GeV_8TeV",0.5
"M = 2000 GeV, LQToUE_Single_L-0p8_M-2000_GeV_8TeV",0.39
"M = 2100 GeV, LQToUE_Single_L-0p8_M-2100_GeV_8TeV",0.31
"M = 2200 GeV, LQToUE_Single_L-0p8_M-2200_GeV_8TeV",0.25
"M = 2300 GeV, LQToUE_Single_L-0p8_M-2300_GeV_8TeV",0.21
"M = 2400 GeV, LQToUE_Single_L-0p8_M-2400_GeV_8TeV",0.17
"M = 2500 GeV, LQToUE_Single_L-0p8_M-2500_GeV_8TeV",0.14
"M = 2600 GeV, LQToUE_Single_L-0p8_M-2600_GeV_8TeV",0.12
"M = 2700 GeV, LQToUE_Single_L-0p8_M-2700_GeV_8TeV",0.1
"M = 300 GeV, LQToUE_Single_L-1p0_M-300_GeV_8TeV",7117
"M = 400 GeV, LQToUE_Single_L-1p0_M-400_GeV_8TeV",2061
"M = 500 GeV, LQToUE_Single_L-1p0_M-500_GeV_8TeV",754.7
"M = 600 GeV, LQToUE_Single_L-1p0_M-600_GeV_8TeV",322.3
"M = 700 GeV, LQToUE_Single_L-1p0_M-700_GeV_8TeV",153.5
"M = 800 GeV, LQToUE_Single_L-1p0_M-800_GeV_8TeV",79.67
"M = 900 GeV, LQToUE_Single_L-1p0_M-900_GeV_8TeV",44.29
"M = 1000 GeV, LQToUE_Single_L-1p0_M-1000_GeV_8TeV",26.05
"M = 1100 GeV, LQToUE_Single_L-1p0_M-1100_GeV_8TeV",16.1
"M = 1200 GeV, LQToUE_Single_L-1p0_M-1200_GeV_8TeV",10.42
"M = 1300 GeV, LQToUE_Single_L-1p0_M-1300_GeV_8TeV",6.99
"M = 1400 GeV, LQToUE_Single_L-1p0_M-1400_GeV_8TeV",4.85
"M = 1500 GeV, LQToUE_Single_L-1p0_M-1500_GeV_8TeV",3.47
"M = 1600 GeV, LQToUE_Single_L-1p0_M-1600_GeV_8TeV",2.55
"M = 1700 GeV, LQToUE_Single_L-1p0_M-1700_GeV_8TeV",1.91
"M = 1800 GeV, LQToUE_Single_L-1p0_M-1800_GeV_8TeV",1.47
"M = 1900 GeV, LQToUE_Single_L-1p0_M-1900_GeV_8TeV",1.15
"M = 2000 GeV, LQToUE_Single_L-1p0_M-2000_GeV_8TeV",0.92
"M = 2100 GeV, LQToUE_Single_L-1p0_M-2100_GeV_8TeV",0.74
"M = 2200 GeV, LQToUE_Single_L-1p0_M-2200_GeV_8TeV",0.6
"M = 2300 GeV, LQToUE_Single_L-1p0_M-2300_GeV_8TeV",0.5
"M = 2400 GeV, LQToUE_Single_L-1p0_M-2400_GeV_8TeV",0.41
"M = 2500 GeV, LQToUE_Single_L-1p0_M-2500_GeV_8TeV",0.35
"M = 2600 GeV, LQToUE_Single_L-1p0_M-2600_GeV_8TeV",0.3
"M = 2700 GeV, LQToUE_Single_L-1p0_M-2700_GeV_8TeV",0.25
"M = 2800 GeV, LQToUE_Single_L-1p0_M-2800_GeV_8TeV",0.22
"M = 2900 GeV, LQToUE_Single_L-1p0_M-2900_GeV_8TeV",0.19
"M = 3000 GeV, LQToUE_Single_L-1p0_M-3000_GeV_8TeV",0.16
"M = 3100 GeV, LQToUE_Single_L-1p0_M-3100_GeV_8TeV",0.14
"M = 3200 GeV, LQToUE_Single_L-1p0_M-3200_GeV_8TeV",0.13
"M = 3300 GeV, LQToUE_Single_L-1p0_M-3300_GeV_8TeV",0.11
"M = 300 GeV, LQToCMu_Single_L-1p0_M-300_GeV_8TeV",579.1
"M = 400 GeV, LQToCMu_Single_L-1p0_M-400_GeV_8TeV",138.8
"M = 500 GeV, LQToCMu_Single_L-1p0_M-500_GeV_8TeV",44.64
"M = 600 GeV, LQToCMu_Single_L-1p0_M-600_GeV_8TeV",17.57
"M = 700 GeV, LQToCMu_Single_L-1p0_M-700_GeV_8TeV",8.07
